Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-09-07,RELIANCE,EQ,835.9,838.25,844.0,827.7,833.05,833.2,833.34,2339465,194957093045000.0,62033,1249598,0.5341
2015-09-08,RELIANCE,EQ,833.2,836.0,852.95,825.1,850.6,848.6,842.4,2948830,248410286755000.03,79567,1352665,0.4587
2015-09-09,RELIANCE,EQ,848.6,861.0,878.7,850.5,870.1,874.05,866.09,3963791,343301224280000.0,109108,2323884,0.5863
2015-09-10,RELIANCE,EQ,874.05,861.0,870.5,855.5,870.5,867.0,863.59,2531423,218610631690000.0,54859,1416406,0.5595
2015-09-11,RELIANCE,EQ,867.0,872.0,876.1,856.2,860.35,860.95,863.16,2430944,209828231540000.0,57363,1275183,0.5246000000000001
2015-09-14,RELIANCE,EQ,860.95,861.75,865.7,851.9,862.0,863.85,858.87,1820453,156352891235000.0,45885,775917,0.42619999999999997
2015-09-15,RELIANCE,EQ,863.85,862.0,870.0,855.6,867.0,868.15,864.45,2630944,227431620935000.0,63045,1466818,0.5575
2015-09-16,RELIANCE,EQ,868.15,872.1,877.35,865.2,872.6,872.55,872.1,3068686,267621551394999.97,59035,1998700,0.6513
2015-09-18,RELIANCE,EQ,872.55,878.45,899.5,877.15,891.7,895.4,890.05,7831592,697052341840000.0,126115,6100039,0.7789
2015-09-21,RELIANCE,EQ,895.4,880.0,888.2,876.05,877.75,878.1,882.23,2910364,256762247650000.0,83987,1883028,0.647
2015-09-22,RELIANCE,EQ,878.1,880.0,884.9,844.5,846.0,847.9,861.37,3599162,310021631380000.0,91666,1921854,0.534
2015-09-23,RELIANCE,EQ,847.9,843.0,856.8,840.0,849.3,850.35,848.94,3479324,295374256950000.0,61882,2188168,0.6289
2015-09-24,RELIANCE,EQ,850.35,848.0,848.0,834.75,836.65,837.35,838.12,6646509,557056652214999.94,82970,5163391,0.7769
2015-09-28,RELIANCE,EQ,837.35,839.8,840.9,828.7,835.0,834.25,834.47,2657197,221734037255000.03,66012,1430216,0.5382
2015-09-29,RELIANCE,EQ,834.25,830.0,850.25,826.1,842.0,840.75,838.35,3623837,303802913175000.0,85289,2101366,0.5799000000000001
2015-09-30,RELIANCE,EQ,840.75,851.0,864.8,838.5,862.05,862.3,853.69,3952665,337434592280000.0,101403,2097005,0.5305
